tarih,metrik,deger,birim,kaynak
2022-12-31,Global akilli gozluk pazar buyuklugu,~0.5,milyon adet,Counterpoint
2023-12-31,Global akilli gozluk yillik sevkiyat buyumesi,156,yuzde YoY,Counterpoint
2023-12-31,Global akilli gozluk pazar buyuklugu,~0.8,milyon adet,Counterpoint
2024-12-31,Global akilli gozluk yillik sevkiyat buyumesi,210,yuzde YoY,Counterpoint
2024-12-31,Global akilli gozluk sevkiyati,2+,milyon adet,Counterpoint
2024-12-31,Meta pazar payi,~60,yuzde,Counterpoint
2025-06-30,H1 2025 akilli gozluk sevkiyat buyumesi,110,yuzde YoY,Counterpoint
2025-06-30,Meta pazar payi H1 2025,70+,yuzde,Counterpoint
2025-12-31,H2 2025 akilli gozluk sevkiyat buyumesi,139,yuzde YoY,Counterpoint
2025-12-31,Meta pazar payi H2 2025,82,yuzde,Counterpoint
2025-12-31,Toplam XR + akilli gozluk sevkiyati (IDC tahmini),14.3,milyon adet,IDC
2025-12-31,Akilli gozluk kategorisi buyumesi (IDC),247.5,yuzde YoY,IDC
2026-12-31,Hedef uretim kapasitesi (EssilorLuxottica),20-30,milyon adet/yil,Bloomberg
2029-12-31,Beklenen CAGR 2025-2029,29.3,yuzde CAGR,IDC
2030-12-31,Tahmini pazar buyuklugu (MarketsandMarkets),4129.3,milyon USD,MarketsandMarkets
