review_id,kullanici,puan,yorum_metni,begeni_sayisi,tarih,yanit_metni,yanit_tarihi,uygulama_versiyonu,kaynak
09ef9831-e258-484c-aae4-0e4b72256aa6,Dinesh Aman,5,ai is a game changer so good and excellent,0,2026-06-20 16:04:56,"Hi Dinesh,

Thank you for your wonderful feedback!

We’re glad to hear you’re enjoying the Meta Horizon experience and find it excellent. Your support motivates us to keep improving and delivering even more engaging features. Stay tuned for future updates that will enhance your journey further!",2026-06-20 16:37:33,,google_play
50a76902-af5e-4413-904b-eeb947d03c8c,Govinda jatav,5,very nice 💯 safe aap,0,2026-06-20 16:03:12,,,276.0.0.23.162,google_play
6b4df382-a212-48e8-a93c-c694b1b458df,Masroor Ali Mangi,2,needs to improvement,0,2026-06-20 16:00:29,"Hi Masroor,

Thank you for your feedback. We understand there is room for improvement and want to ensure you get the best experience. Since your review does not mention a specific issue, please contact Meta Store Support with the exact issues you are facing. Sharing those specifics will help us investigate and assist you better.",2026-06-20 16:12:14,,google_play
0a7232d3-1c62-4eb0-a84a-844ca1288035,Kartik Gujrati,5,nice app,0,2026-06-20 15:55:31,,,276.0.0.23.162,google_play
bff36c23-7743-42f8-a9a5-5b68c079ebca,Md ajgar ali Shaikh,5,super,0,2026-06-20 15:53:22,,,,google_play
394f4d49-e0d8-4c5b-82ed-97cdab294aea,Hare Krishna,3,Good,0,2026-06-20 15:53:22,,,277.1.0.21.162,google_play
556eacc8-b436-4ab2-a506-83484ce6a36f,Alankrita Bhuyan,5,Thanks AI❤️🙏❤️,0,2026-06-20 15:53:18,,,,google_play
167af15d-06db-463e-b101-a1027a67797b,Rabina Khatun,5,nice,0,2026-06-20 15:50:08,,,,google_play
cca3daeb-fc2e-47ca-a777-7951ce6f9020,anuj maurya,5,good 👍💃🤞,0,2026-06-20 15:46:23,,,,google_play
be98a029-0c78-4d8a-867a-713cdf710d36,Sivanesh Priyan,5,veri நெஸ்,1,2026-06-20 15:43:35,,,,google_play
58a3f997-1273-4311-8bf0-8eac568f0389,Moksha Mudhiraj,5,nice,0,2026-06-20 15:43:13,,,277.1.0.21.162,google_play
0873be3b-ca19-4c6f-b999-32cf5bc6c74a,Kalaiselvan Vasu,4,good,0,2026-06-20 15:41:24,,,277.1.0.21.162,google_play
028a13ba-f3a4-44d7-a0aa-75e0f914aeb5,rajendran murugesan,5,well app,0,2026-06-20 15:40:44,,,,google_play
c0cb42b2-9cc8-4675-9aa0-5fe4d45d84df,Bindeshwar Oraon,5,good 👍👍👍,0,2026-06-20 15:39:36,,,263.0.0.19.164,google_play
bd202522-7cc9-4e46-8433-4a1f8d6d4a07,Ozana Ninemillion,5,good in Ai tools,0,2026-06-20 15:26:18,,,277.1.0.21.162,google_play
cb092539-e2d2-4b66-99f8-797e9dc78389,Jamal Faker,5,good working,0,2026-06-20 15:23:18,,,277.1.0.21.162,google_play
8fd6d0b1-347c-4f31-a119-cd29ed84e45c,Dhambha Parmar,5,👍,0,2026-06-20 15:23:10,,,,google_play
12b71813-807b-420e-a938-2ce6f76adf23,salman ilyas,5,one word that is awesome 👍,0,2026-06-20 15:20:11,,,277.1.0.21.162,google_play
e68a03d4-0f21-4797-a52c-64b964b03480,Amanda great Favour nancy,5,very perfect,0,2026-06-20 15:17:30,,,267.1.0.67.173,google_play
a93a1c2d-6652-4fad-9bb9-7c39fb28fdb9,Sanoop Sukumaran,5,good,0,2026-06-20 15:16:13,,,277.1.0.21.162,google_play
e0c6bfb2-5f65-4789-8d69-63d93d57752c,Nathaniel Abiodun,5,nice app,0,2026-06-20 15:09:56,,,,google_play
08e27d98-e856-4227-9fef-fed4627e0145,Sanjay Bbc,5,good,0,2026-06-20 15:07:08,,,277.1.0.21.162,google_play
84556ad7-15f0-49c9-8ac4-10fc27e27648,Manjunatha T Manju Hallikar,4,good,0,2026-06-20 15:00:33,,,,google_play
d7c7e456-dadb-4173-b3d5-641e8c65b9ea,Debisingh Goud,5,🥰🙌💝,1,2026-06-20 14:52:59,,,277.1.0.21.162,google_play
9a199b20-1d7b-4337-9b6c-1598741acbc9,Steve Nott,5,endless abilities!,0,2026-06-20 14:38:42,,,277.1.0.21.162,google_play
6f7f8df9-f7f2-4dab-9409-fb9e127a0763,Lita Gamango,5,nice appp i enjoy full of more to more. Bast app for convert video / image,0,2026-06-20 14:37:30,,,276.0.0.23.162,google_play
542ec750-0cbf-436c-97a8-8ba486c69402,Naseer Baloch Everything,5,Meta ai nice wonderful i like it so thx,0,2026-06-20 14:33:53,,,,google_play
3acacd85-0887-4edd-9600-8eaef2ac7b57,SIRAJ AHMED,5,Very useful,0,2026-06-20 14:30:24,,,,google_play
7507ed0e-df62-4e32-ae6c-d8c486f473e0,mali “Mali.Tarantino” seaton,5,"Truthfully highly underrated. I don't think people are fully using this to the extent of the capability that it actually is giving for free, seemingly without the user being the product either great work Dev team, and thank you.",0,2026-06-20 14:30:10,"Hi,
Thank you so much for your heartfelt words, your appreciation truly means a lot! 🙌 It’s wonderful to hear you recognize the depth of capability here and how valuable it feels without compromise. Your encouragement is a big boost for the team.",2026-06-20 14:36:43,277.1.0.21.162,google_play
2530b647-d8df-427d-a884-0ec4329a383e,Toma Sarkar,5,good supar,0,2026-06-20 14:28:45,,,277.1.0.21.162,google_play
aa4e9d63-5efe-46c3-b950-e1cad93815d7,muthukrishnan R,5,metaAl,0,2026-06-20 14:23:03,,,276.0.0.23.162,google_play
442a9de2-7ded-4d16-8516-80bddfb934d2,Rocky Doley,5,good💯,0,2026-06-20 14:22:13,,,,google_play
3a3e0708-bcc5-44d2-bc12-3757cc30fc67,Daniel Mukinga,5,The app gives excellent information. It responds very fast.,0,2026-06-20 14:22:06,"Hi Daniel,
Thank you so much for the glowing 5‑star rating, that truly means the world! 🙌 We’re delighted to hear the app is giving you excellent information and responding super fast ✨. Your feedback motivates us to keep delivering the best experience possible 💡👏.",2026-06-20 14:38:34,276.0.0.23.162,google_play
061765e4-677c-4dcf-a3a7-84fcb15e426d,Amara Noreddine,5,nice,0,2026-06-20 14:21:54,,,277.1.0.21.162,google_play
7c18717f-4fe3-477a-a6f1-d5d1b224ed53,ARIF STAR 43,4,मस्ती वाली,0,2026-06-20 14:18:06,,,,google_play
55416645-b90f-4203-a3e6-007c87eabf59,Rubel Ahmed,5,nice,0,2026-06-20 14:16:18,,,277.1.0.21.162,google_play
e50a7700-abc4-4f51-ad07-413537fc5076,Hem Chandra,5,excellent 👌👌👌👌👍,0,2026-06-20 14:14:23,,,,google_play
bc92b468-d494-4dcf-a066-f9d91d9bf492,Eyasin Ali,5,good,0,2026-06-20 14:14:16,,,277.1.0.21.162,google_play
f415382d-8bba-44c5-adc3-9c2c76f78156,Veerabhadraiah M,5,fine,0,2026-06-20 14:12:21,,,254.0.0.13.167,google_play
a62d1e78-2cc0-4ccf-ac87-287cc2d00b74,ye Min,5,okay 👍,0,2026-06-20 14:12:11,,,277.1.0.21.162,google_play
fd94b786-d46a-43af-a667-bc76e35c6813,Okeke Gideons,5,good,0,2026-06-20 14:11:20,,,,google_play
024d6d34-40df-40e7-92f9-d3e42a900b69,md alamin,5,very good,0,2026-06-20 14:08:33,,,277.1.0.21.162,google_play
89b07d24-8ff4-4343-a12d-90d5e097f85e,AYESHA QURAISHI,4,very nice,0,2026-06-20 14:07:45,,,,google_play
99178f82-0ab0-4691-a89f-36e331f5adbb,Titilayo Taiwo,5,so beautiful ❤️❤️,0,2026-06-20 14:05:19,,,276.0.0.23.162,google_play
caf5ba2e-dd8b-4046-92fa-ff3a4b622852,Moymoy Palaboy,1,Blaming me for something he did wrong and not listening to what im saying.He kept blaming and roasting me bad app dont download go to chatgpt instead or grok.,0,2026-06-20 13:57:09,,,,google_play
3315d12f-5149-46e8-b430-7b4dd660021a,christian herman,5,good,0,2026-06-20 13:50:17,,,277.1.0.21.162,google_play
001dda2c-d578-4b6b-a88c-aa106ff47c47,Munna Kumar Ray,5,satic ans,0,2026-06-20 13:37:42,,,274.0.0.24.162,google_play
ed230697-2cb2-4df1-b0fe-35367b83c0f0,Suresh Shekade,5,very good,0,2026-06-20 13:37:09,,,,google_play
bdbbfaaa-8206-42ad-a00c-f3b7b805c36f,Gbenga Raimi,5,good,0,2026-06-20 13:37:08,,,273.1.0.34.167,google_play
fd57de7e-66bd-4b18-a8fa-448e71edc017,Tinu,5,exleent,0,2026-06-20 13:36:20,,,,google_play
829e2730-e58d-4dea-885c-1b1c20546178,Nilesh Patidar,5,all are good👍,0,2026-06-20 13:33:05,"Hi Nilesh,
Wow, thank you so much for the amazing 5‑star rating and for sharing such positive feedback! We’re thrilled everything is working well for you and that your experience has been smooth✨. Welcome to Meta family!",2026-06-20 14:07:17,277.1.0.21.162,google_play
3ba8a302-a0b3-477f-b502-754da82b0f3e,Danish Amin,5,good,0,2026-06-20 13:32:46,,,,google_play
0dbc9710-8e4c-4f57-b39d-cfac8b482737,Melong Kuete Darios,3,"The app is good and all but the mic doesn't work for me, it allows me to register but not send please meta you gotta fix it please",0,2026-06-20 13:26:10,"Hey Melong!

Thank you for your review! We are glad you find the app good, and we appreciate you highlighting this microphone situation. To get your audio sending properly, ensure the app has full microphone permissions enabled in your phone's settings.

If this persists, please contact the Meta Store Support team so we can help resolve this!",2026-06-20 13:51:51,277.1.0.21.162,google_play
29c7c9ea-d491-4342-bf11-a963cd71a125,Siddi Siddi,5,good not bad,0,2026-06-20 13:22:54,,,,google_play
9dad17ca-e890-42af-af56-b4d62cd99beb,Dhiraj Kumar,5,very nice app,0,2026-06-20 13:22:35,,,277.1.0.21.162,google_play
9fc2d915-2f7d-4d7b-912d-bb5b2ea7f3ec,Aman Patil,5,very helpful for beginner creators to easy create image and animation 👌,0,2026-06-20 13:21:58,,,273.1.0.34.167,google_play
